Question Type,No. of students attended the question,Time Taken ,Number of times MCQ option change,No. of Times compilation,No. of Hints used,Programming Language,Feedback,Correct,Wrong,Partially Correct,Maximum mark,Difficulty
1,18815437,705,0,0,0,0,0,14111577.75,4703859.25,0,5,Medium
1,26559998,344,0,0,0,0,1,19919998.5,6639999.5,0,2,Medium
1,61276862,3348,0,0,0,0,0,45957646.5,15319215.5,0,6,Medium
1,2102135,3301,0,0,0,0,0,1576601.25,525533.75,0,5,Medium
1,45769476,2305,0,0,0,0,1,34327107,11442369,0,3,Medium
1,88807433,2022,0,0,0,0,1,66605574.75,22201858.25,0,5,Medium
1,1701727,3058,0,0,0,0,1,1276295.25,425431.75,0,4,Medium
1,6928432,1062,0,0,0,0,1,5196324,1732108,0,3,Medium
1,18232344,1813,0,0,0,0,0,13674258,4558086,0,2,Medium
1,19085436,2975,0,0,0,0,1,14314077,4771359,0,1,Medium
1,12834683,2481,0,0,0,0,1,9626012.25,3208670.75,0,1,Medium
1,53220860,1101,0,0,0,0,0,39915645,13305215,0,5,Medium
1,59597039,282,0,0,0,0,0,44697779.25,14899259.75,0,5,Medium
1,68029961,1426,0,0,0,0,1,51022470.75,17007490.25,0,6,Medium
1,33595854,1458,0,0,0,0,0,25196890.5,8398963.5,0,3,Medium
1,41900006,2775,0,0,0,0,1,31425004.5,10475001.5,0,5,Medium
1,38729988,1285,0,0,0,0,1,29047491,9682497,0,6,Easy
1,18257915,2110,0,0,0,0,1,13693436.25,4564478.75,0,3,Easy
1,7804575,3064,0,0,0,0,1,5853431.25,1951143.75,0,2,Medium
1,9862503,1609,0,0,0,0,1,7396877.25,2465625.75,0,6,Medium
1,74716084,2157,0,0,0,0,1,56037063,18679021,0,5,Easy
1,3397637,3296,0,0,0,0,1,2548227.75,849409.25,0,5,Medium
1,5334575,4784,0,0,0,0,0,4000931.25,1333643.75,0,3,Medium
1,66577327,4001,0,0,0,0,1,49932995.25,16644331.75,0,3,Medium
1,7903150,4649,0,0,0,0,1,5927362.5,1975787.5,0,2,Medium
1,36210286,959,0,0,0,0,0,27157714.5,9052571.5,0,2,Medium
1,57278781,3122,0,0,0,0,0,42959085.75,14319695.25,0,4,Easy
1,62463094,4870,0,0,0,0,1,46847320.5,15615773.5,0,1,Easy
1,7389960,715,0,0,0,0,0,5542470,1847490,0,5,Medium
1,64361713,4737,0,0,0,0,1,48271284.75,16090428.25,0,5,Medium
1,85246010,443,0,0,0,0,0,63934507.5,21311502.5,0,5,Hard
1,40704144,1200,0,0,0,0,0,30528108,10176036,0,2,Medium
1,57243775,4325,0,0,0,0,1,42932831.25,14310943.75,0,2,Medium
1,12990331,849,0,0,0,0,1,9742748.25,3247582.75,0,4,Hard
1,32790645,231,0,0,0,0,0,24592983.75,8197661.25,0,1,Medium
1,57323867,4218,0,0,0,0,1,42992900.25,14330966.75,0,4,Medium
1,37983319,3629,0,0,0,0,1,28487489.25,9495829.75,0,1,Medium
1,2557129,967,0,0,0,0,1,1917846.75,639282.25,0,4,Hard
1,88310431,844,0,0,0,0,1,66232823.25,22077607.75,0,4,Medium
1,37670715,3154,0,0,0,0,1,28253036.25,9417678.75,0,1,Medium
1,37240852,3047,0,0,0,0,0,27930639,9310213,0,3,Medium
1,6157710,2494,0,0,0,0,0,4618282.5,1539427.5,0,3,Hard
1,6875740,218,0,0,0,0,1,5156805,1718935,0,6,Medium
1,78288194,3395,0,0,0,0,0,58716145.5,19572048.5,0,1,Medium
1,36420204,1755,0,0,0,0,1,27315153,9105051,0,5,Medium
1,31244127,4530,0,0,0,0,0,23433095.25,7811031.75,0,5,Medium
1,32158106,3668,0,0,0,0,0,24118579.5,8039526.5,0,4,Hard
1,63280735,4792,0,0,0,0,1,47460551.25,15820183.75,0,4,Medium
1,52126855,1653,0,0,0,0,1,39095141.25,13031713.75,0,2,Medium
1,67460431,2824,0,0,0,0,0,50595323.25,16865107.75,0,5,Medium
1,22507456,2254,0,0,0,0,0,16880592,5626864,0,1,Medium
1,23998071,2682,0,0,0,0,0,17998553.25,5999517.75,0,5,Medium
1,20471622,144,0,0,0,0,1,15353716.5,5117905.5,0,3,Hard
1,24311027,4763,0,0,0,0,1,18233270.25,6077756.75,0,6,Hard
1,57455277,1443,0,0,0,0,1,43091457.75,14363819.25,0,5,Medium
1,46321515,1063,0,0,0,0,0,34741136.25,11580378.75,0,3,Medium
1,87332884,2851,0,0,0,0,1,65499663,21833221,0,3,Medium
1,64080028,3576,0,0,0,0,0,48060021,16020007,0,5,Medium
1,21725193,4913,0,0,0,0,0,16293894.75,5431298.25,0,3,Medium
1,59816454,3933,0,0,0,0,0,44862340.5,14954113.5,0,3,Medium
1,78276550,3701,0,0,0,0,1,58707412.5,19569137.5,0,2,Hard
1,66110420,279,0,0,0,0,1,49582815,16527605,0,6,Medium
1,2045409,4827,0,0,0,0,1,1534056.75,511352.25,0,5,Medium
1,65203781,4060,0,0,0,0,1,48902835.75,16300945.25,0,5,Medium
1,41256465,2033,0,0,0,0,0,30942348.75,10314116.25,0,2,Medium
1,8107180,2212,0,0,0,0,1,6080385,2026795,0,2,Medium
1,22825594,1003,0,0,0,0,1,17119195.5,5706398.5,0,2,Medium
1,21303436,2299,0,0,0,0,0,15977577,5325859,0,6,Medium
1,81630851,4781,0,0,0,0,0,61223138.25,20407712.75,0,1,Hard
1,50903635,3720,0,0,0,0,0,38177726.25,12725908.75,0,3,Medium
1,69888110,2797,0,0,0,0,1,52416082.5,17472027.5,0,5,Medium
1,2778090,3225,0,0,0,0,0,2083567.5,694522.5,0,3,Hard
1,52624223,1722,0,0,0,0,0,39468167.25,13156055.75,0,1,Medium
1,50765752,3645,0,0,0,0,1,38074314,12691438,0,2,Medium
1,67661932,1380,0,0,0,0,1,50746449,16915483,0,5,Medium
1,62135036,137,0,0,0,0,0,46601277,15533759,0,3,Medium
1,21480772,2216,0,0,0,0,0,16110579,5370193,0,5,Medium
1,36640809,493,0,0,0,0,1,27480606.75,9160202.25,0,1,Hard
1,5902596,4012,0,0,0,0,1,4426947,1475649,0,3,Medium
1,32544156,2301,0,0,0,0,0,24408117,8136039,0,2,Medium
1,13540286,617,0,0,0,0,0,10155214.5,3385071.5,0,3,Hard
1,74828917,2113,0,0,0,0,1,56121687.75,18707229.25,0,2,Medium
1,42908605,4710,0,0,0,0,1,32181453.75,10727151.25,0,4,Medium
1,67089411,3796,0,0,0,0,0,50317058.25,16772352.75,0,3,Medium
1,66028594,2102,0,0,0,0,1,49521445.5,16507148.5,0,3,Medium
1,54259500,3239,0,0,0,0,1,40694625,13564875,0,6,Hard
1,86463913,3366,0,0,0,0,0,64847934.75,21615978.25,0,1,Medium
1,51767858,3289,0,0,0,0,0,38825893.5,12941964.5,0,1,Medium
1,64778937,4212,0,0,0,0,0,48584202.75,16194734.25,0,5,Medium
1,24067290,2398,0,0,0,0,1,18050467.5,6016822.5,0,3,Medium
1,86947509,1350,0,0,0,0,1,65210631.75,21736877.25,0,5,Medium
1,56960148,877,0,0,0,0,0,42720111,14240037,0,5,Medium
1,84435910,4562,0,0,0,0,1,63326932.5,21108977.5,0,4,Medium
1,40931124,2024,0,0,0,0,1,30698343,10232781,0,2,Medium
1,88366819,267,0,0,0,0,0,66275114.25,22091704.75,0,4,Medium
1,54432971,3816,0,0,0,0,0,40824728.25,13608242.75,0,6,Medium
1,73706773,1019,0,0,0,0,1,55280079.75,18426693.25,0,1,Medium
1,85072557,1804,0,0,0,0,1,63804417.75,21268139.25,0,3,Hard
1,37865746,3558,0,0,0,0,1,28399309.5,9466436.5,0,3,Medium
1,54976631,1632,0,0,0,0,0,41232473.25,13744157.75,0,3,Medium
1,66139786,3873,0,0,0,0,0,49604839.5,16534946.5,0,3,Medium
1,1012157,1628,0,0,0,0,0,759117.75,253039.25,0,6,Medium
1,33737944,232,0,0,0,0,1,25303458,8434486,0,1,Medium
1,51201535,1991,0,0,0,0,1,38401151.25,12800383.75,0,2,Medium
1,32861026,3066,0,0,0,0,1,24645769.5,8215256.5,0,3,Hard
1,72591742,2264,0,0,0,0,0,54443806.5,18147935.5,0,3,Medium
1,18645373,3313,0,0,0,0,0,13984029.75,4661343.25,0,6,Medium
1,21333168,3194,0,0,0,0,1,15999876,5333292,0,5,Medium
1,53451127,685,0,0,0,0,0,40088345.25,13362781.75,0,3,Hard
1,26920079,1301,0,0,0,0,1,20190059.25,6730019.75,0,5,Hard
1,5345887,910,0,0,0,0,0,4009415.25,1336471.75,0,6,Medium
1,66151992,344,0,0,0,0,0,49613994,16537998,0,6,Medium
1,33292778,245,0,0,0,0,0,24969583.5,8323194.5,0,4,Medium
1,1360073,1097,0,0,0,0,1,1020054.75,340018.25,0,1,Hard
1,71406707,1172,0,0,0,0,1,53555030.25,17851676.75,0,3,Medium
1,51091280,180,0,0,0,0,0,38318460,12772820,0,3,Medium
